time,P,G(i),H_sun,T2m,WS10m,Int
20230101:0011,0.0,0.0,0.0,5.35,2.62,0.0
20230101:0111,0.0,0.0,0.0,5.35,2.76,0.0
20230101:0211,0.0,0.0,0.0,5.49,2.69,0.0
20230101:0311,0.0,0.0,0.0,5.43,2.62,0.0
20230101:0411,0.0,0.0,0.0,5.2,2.48,0.0
20230101:0511,0.0,0.0,0.0,5.03,2.34,0.0
20230101:0611,0.0,0.0,0.0,4.9,2.34,0.0
20230101:0711,0.0,0.0,0.0,4.94,2.0,0.0
20230101:0811,0.0,0.0,0.0,4.83,1.86,0.0
20230101:0911,0.53,6.9,2.03,4.49,1.66,0.0
20230101:1011,225.97,267.75,7.87,4.86,1.52,0.0
20230101:1111,62.08,86.76,12.0,5.38,1.45,0.0
20230101:1211,267.77,313.53,14.09,5.63,2.34,0.0
20230101:1311,274.71,322.26,13.97,6.17,2.21,0.0
20230101:1411,79.32,106.45,11.63,6.25,1.93,0.0
20230101:1511,158.76,195.07,7.29,6.11,1.59,0.0
20230101:1611,0.0,0.0,0.0,5.45,1.45,0.0
20230101:1711,0.0,0.0,0.0,4.5,1.52,0.0
20230101:1811,0.0,0.0,0.0,3.71,1.52,0.0
20230101:1911,0.0,0.0,0.0,2.74,1.86,0.0
20230101:2011,0.0,0.0,0.0,2.15,1.93,0.0
20230101:2111,0.0,0.0,0.0,1.62,2.0,0.0
20230101:2211,0.0,0.0,0.0,1.33,2.07,0.0
20230101:2311,0.0,0.0,0.0,1.13,2.0,0.0
20230102:0011,0.0,0.0,0.0,0.77,1.93,0.0
20230102:0111,0.0,0.0,0.0,0.31,1.79,0.0
20230102:0211,0.0,0.0,0.0,0.0,1.66,0.0
20230102:0311,0.0,0.0,0.0,-0.12,1.31,0.0
20230102:0411,0.0,0.0,0.0,-0.55,1.24,0.0
20230102:0511,0.0,0.0,0.0,-1.7,1.66,0.0
20230102:0611,0.0,0.0,0.0,-2.39,1.72,0.0
20230102:0711,0.0,0.0,0.0,-2.25,1.52,0.0
20230102:0811,0.0,0.0,0.0,-1.99,1.45,0.0
20230102:0911,0.22,6.04,2.05,-1.94,1.52,0.0
20230102:1011,271.98,311.87,7.91,-0.89,1.17,0.0
20230102:1111,414.59,475.22,12.06,1.53,1.31,0.0
20230102:1211,545.38,634.8,14.17,3.36,1.52,0.0
20230102:1311,505.7,587.89,14.06,4.62,1.86,0.0
20230102:1411,425.87,493.43,11.74,5.15,2.21,0.0
20230102:1511,184.19,221.58,7.41,5.19,2.97,0.0
20230102:1611,0.0,0.0,0.0,4.72,3.1,0.0
20230102:1711,0.0,0.0,0.0,4.03,3.17,0.0
20230102:1811,0.0,0.0,0.0,4.07,3.31,0.0
20230102:1911,0.0,0.0,0.0,4.69,4.14,0.0
20230102:2011,0.0,0.0,0.0,5.08,4.62,0.0
20230102:2111,0.0,0.0,0.0,5.92,5.1,0.0
20230102:2211,0.0,0.0,0.0,6.56,5.45,0.0
20230102:2311,0.0,0.0,0.0,6.88,5.72,0.0
20230103:0011,0.0,0.0,0.0,7.02,6.21,0.0
20230103:0111,0.0,0.0,0.0,7.25,6.07,0.0
20230103:0211,0.0,0.0,0.0,7.71,4.97,0.0
20230103:0311,0.0,0.0,0.0,8.39,3.79,0.0
20230103:0411,0.0,0.0,0.0,8.66,3.38,0.0
20230103:0511,0.0,0.0,0.0,8.45,3.17,0.0
20230103:0611,0.0,0.0,0.0,8.24,3.31,0.0
20230103:0711,0.0,0.0,0.0,8.71,4.21,0.0
20230103:0811,0.0,0.0,0.0,8.9,4.48,0.0
20230103:0911,0.5,6.9,2.09,9.17,5.59,0.0
20230103:1011,66.37,92.61,7.96,9.76,5.45,0.0
20230103:1111,111.35,144.02,12.12,10.64,4.48,0.0
20230103:1211,20.31,37.71,14.26,11.65,4.48,0.0
20230103:1311,95.72,127.51,14.16,12.15,4.76,0.0
20230103:1411,29.44,49.67,11.85,12.36,4.62,0.0
20230103:1511,8.47,21.15,7.54,12.33,4.48,0.0
20230103:1611,0.0,0.0,0.0,12.12,4.0,0.0
20230103:1711,0.0,0.0,0.0,11.85,4.41,0.0
20230103:1811,0.0,0.0,0.0,12.03,5.1,0.0
20230103:1911,0.0,0.0,0.0,12.24,5.86,0.0
20230103:2011,0.0,0.0,0.0,12.36,5.66,0.0
20230103:2111,0.0,0.0,0.0,12.36,5.38,0.0
20230103:2211,0.0,0.0,0.0,12.14,5.72,0.0
20230103:2311,0.0,0.0,0.0,11.92,6.28,0.0
20230104:0011,0.0,0.0,0.0,11.71,5.93,0.0
20230104:0111,0.0,0.0,0.0,11.32,5.93,0.0
20230104:0211,0.0,0.0,0.0,10.62,5.66,0.0
20230104:0311,0.0,0.0,0.0,10.29,5.52,0.0
20230104:0411,0.0,0.0,0.0,10.13,5.31,0.0
20230104:0511,0.0,0.0,0.0,10.18,5.31,0.0
20230104:0611,0.0,0.0,0.0,10.14,5.59,0.0
20230104:0711,0.0,0.0,0.0,9.98,5.52,0.0
20230104:0811,0.0,0.0,0.0,9.99,5.31,0.0
20230104:0911,0.49,6.9,2.13,10.01,5.17,0.0
20230104:1011,107.59,139.37,8.02,10.09,4.9,0.0
20230104:1111,251.09,298.82,12.2,10.56,5.1,0.0
20230104:1211,404.8,472.51,14.35,11.05,5.93,0.0
20230104:1311,123.79,158.26,14.27,11.2,6.0,0.0
20230104:1411,230.6,276.44,11.98,11.24,6.14,0.0
20230104:1511,29.23,48.94,7.67,10.91,5.72,0.0
20230104:1611,0.0,0.92,1.68,10.68,5.31,0.0
20230104:1711,0.0,0.0,0.0,10.51,5.03,0.0
20230104:1811,0.0,0.0,0.0,10.25,4.62,0.0
20230104:1911,0.0,0.0,0.0,10.21,4.34,0.0
20230104:2011,0.0,0.0,0.0,10.15,3.93,0.0
20230104:2111,0.0,0.0,0.0,10.03,3.59,0.0
20230104:2211,0.0,0.0,0.0,9.8,3.24,0.0
20230104:2311,0.0,0.0,0.0,9.6,2.9,0.0
20230105:0011,0.0,0.0,0.0,9.47,2.48,0.0
20230105:0111,0.0,0.0,0.0,9.27,2.28,0.0
20230105:0211,0.0,0.0,0.0,9.23,2.21,0.0
20230105:0311,0.0,0.0,0.0,9.24,2.48,0.0
20230105:0411,0.0,0.0,0.0,9.41,3.17,0.0
20230105:0511,0.0,0.0,0.0,10.23,3.52,0.0
20230105:0611,0.0,0.0,0.0,10.75,3.72,0.0
20230105:0711,0.0,0.0,0.0,10.89,4.07,0.0
20230105:0811,0.0,0.0,0.0,11.09,4.62,0.0
20230105:0911,0.0,3.45,2.17,11.26,5.1,0.0
20230105:1011,55.02,80.02,8.08,11.34,5.52,0.0
20230105:1111,27.41,46.91,12.28,11.55,5.72,0.0
20230105:1211,19.61,36.79,14.45,11.79,5.79,0.0
20230105:1311,18.24,34.95,14.39,11.8,6.21,0.0
20230105:1411,21.76,39.55,12.11,11.26,6.07,0.0
20230105:1511,7.98,20.23,7.8,9.9,5.03,0.0
20230105:1611,0.0,1.84,1.82,8.93,4.41,0.0
20230105:1711,0.0,0.0,0.0,8.32,4.14,0.0
20230105:1811,0.0,0.0,0.0,7.99,4.07,0.0
20230105:1911,0.0,0.0,0.0,7.61,4.0,0.0
20230105:2011,0.0,0.0,0.0,7.36,4.0,0.0
20230105:2111,0.0,0.0,0.0,7.07,4.0,0.0
20230105:2211,0.0,0.0,0.0,7.0,4.14,0.0
20230105:2311,0.0,0.0,0.0,7.07,4.21,0.0
20230106:0011,0.0,0.0,0.0,6.91,3.93,0.0
20230106:0111,0.0,0.0,0.0,6.6,3.72,0.0
20230106:0211,0.0,0.0,0.0,6.45,3.45,0.0
20230106:0311,0.0,0.0,0.0,6.14,2.9,0.0
20230106:0411,0.0,0.0,0.0,5.63,2.83,0.0
20230106:0511,0.0,0.0,0.0,5.53,2.41,0.0
20230106:0611,0.0,0.0,0.0,5.58,2.48,0.0
20230106:0711,0.0,0.0,0.0,5.8,2.48,0.0
20230106:0811,0.0,0.0,0.0,6.17,2.76,0.0
20230106:0911,0.0,0.86,2.23,6.58,3.17,0.0
20230106:1011,51.15,74.38,8.15,7.2,3.38,0.0
20230106:1111,86.94,115.58,12.37,8.06,3.66,0.0
20230106:1211,183.39,222.82,14.56,8.81,3.79,0.0
20230106:1311,31.35,51.51,14.51,9.43,4.28,0.0
20230106:1411,33.51,54.26,12.24,9.85,4.34,0.0
20230106:1511,12.38,26.67,7.95,9.85,4.76,0.0
